,country,code
0,"MEXICO Air Sea, and Not Reported (I-94, no land arrivals)",582
1,AFGHANISTAN,236
2,ALBANIA,101
3,ALGERIA,316
4,ANDORRA,102
5,ANGOLA,324
6,ANGUILLA,529
7,ANTIGUA-BARBUDA,518
8,ARGENTINA,687
9,ARMENIA,151
10,ARUBA,532
11,AUSTRALIA,438
12,AUSTRIA,103
13,AZERBAIJAN,152
14,BAHAMAS,512
15,BAHRAIN,298
16,BANGLADESH,274
17,BARBADOS,513
18,BELGIUM,104
19,BELIZE,581
20,BENIN,386
21,BERMUDA,509
22,BELARUS,153
23,BHUTAN,242
24,BOLIVIA,688
25,"BONAIRE, ST EUSTATIUS, SABA",717
26,BOSNIA-HERZEGOVINA,164
27,BOTSWANA,336
28,BRAZIL,689
29,BRITISH VIRGIN ISLANDS,525
30,BRUNEI,217
31,BULGARIA,105
32,BURKINA FASO,393
33,BURMA,243
34,BURUNDI,375
35,CAMEROON,310
36,CAPE VERDE,326
37,CAYMAN ISLANDS,526
38,CENTRAL AFRICAN REPUBLIC,383
39,CHAD,384
40,CHILE,690
41,"CHINA, PRC",245
42,CURACAO,721
43,CHRISTMAS ISLAND,270
44,COCOS ISLANDS,271
45,COLOMBIA,691
46,COMOROS,317
47,CONGO,385
48,COOK ISLANDS,467
49,COSTA RICA,575
50,CROATIA,165
51,CUBA,584
52,CYPRUS,218
53,CZECH REPUBLIC,140
54,FAROE ISLANDS (PART OF DENMARK),723
55,DENMARK,108
56,DJIBOUTI,322
57,DOMINICA,519
58,DOMINICAN REPUBLIC,585
59,EAST TIMOR,240
60,ECUADOR,692
61,EGYPT,368
62,EL SALVADOR,576
63,EQUATORIAL GUINEA,399
64,ERITREA,372
65,ESTONIA,109
66,ETHIOPIA,369
67,FALKLAND ISLANDS,604
68,FIJI,413
69,FINLAND,110
70,FRANCE,111
71,FRENCH GUIANA,601
72,FRENCH POLYNESIA,411
73,GABON,387
74,GAMBIA,338
75,GAZA STRIP,758
76,GEORGIA,154
77,GERMANY,112
78,GHANA,339
79,GIBRALTAR,143
80,GREECE,113
81,GRENADA,520
82,GUADELOUPE,507
83,GUATEMALA,577
84,GUINEA,382
85,GUINEA-BISSAU,327
86,GUYANA,603
87,HAITI,586
88,HEARD AND MCDONALD IS.,726
89,HOLY SEE/VATICAN,149
90,HONDURAS,528
91,HONG KONG,206
92,HUNGARY,114
93,ICELAND,115
94,INDIA,213
95,INDIAN OCEAN AREAS (FRENCH),759
96,INDIAN OCEAN TERRITORY,729
97,INDONESIA,204
98,IRAN,249
99,IRAQ,250
100,IRELAND,116
101,ISRAEL,251
102,ITALY,117
103,IVORY COAST,388
104,JAMAICA,514
105,JAPAN,209
106,JORDAN,253
107,KAMPUCHEA,201
108,KAZAKHSTAN,155
109,KENYA,340
110,KIRIBATI,414
111,KOSOVO,732
112,KUWAIT,272
113,KYRGYZSTAN,156
114,LAOS,203
115,LATVIA,118
116,LEBANON,255
117,LESOTHO,335
118,LIBERIA,370
119,LIBYA,381
120,LIECHTENSTEIN,119
121,LITHUANIA,120
122,LUXEMBOURG,121
123,MACAU,214
124,MACEDONIA,167
125,MADAGASCAR,320
126,MALAWI,345
127,MALAYSIA,273
128,MALDIVES,220
129,MALI,392
130,MALTA,145
131,MARSHALL ISLANDS,472
132,MARTINIQUE,511
133,MAURITANIA,389
134,MAURITIUS,342
135,MAYOTTE (AFRICA - FRENCH),760
136,"MICRONESIA, FED. STATES OF",473
137,MOLDOVA,157
138,MONACO,122
139,MONGOLIA,299
140,MONTENEGRO,735
141,MONTSERRAT,521
142,MOROCCO,332
143,MOZAMBIQUE,329
144,NAMIBIA,371
145,NAURU,440
146,NEPAL,257
147,NETHERLANDS,123
148,NETHERLANDS ANTILLES,508
149,NEW CALEDONIA,409
150,NEW ZEALAND,464
151,NICARAGUA,579
152,NIGER,390
153,NIGERIA,343
154,NIUE,470
155,NORTH KOREA,275
156,NORWAY,124
157,OMAN,256
158,PAKISTAN,258
159,PALAU,474
160,PALESTINE,743
161,PANAMA,504
162,PAPUA NEW GUINEA,441
163,PARAGUAY,693
164,PERU,694
165,PHILIPPINES,260
166,PITCAIRN ISLANDS,416
167,POLAND,107
168,PORTUGAL,126
169,QATAR,297
170,REPUBLIC OF SOUTH SUDAN,748
171,REUNION,321
172,ROMANIA,127
173,RUSSIA,158
174,RWANDA,376
175,SAN MARINO,128
176,SAO TOME AND PRINCIPE,330
177,SAUDI ARABIA,261
178,SENEGAL,391
179,SERBIA AND MONTENEGRO,142
180,SERBIA,745
181,SEYCHELLES,347
182,SIERRA LEONE,348
183,SINGAPORE,207
184,SLOVAKIA,141
185,SLOVENIA,166
186,SOLOMON ISLANDS,412
187,SOMALIA,397
188,SOUTH AFRICA,373
189,SOUTH KOREA,276
190,SPAIN,129
191,SRI LANKA,244
192,ST. HELENA,346
193,ST. KITTS-NEVIS,522
194,ST. LUCIA,523
195,ST. PIERRE AND MIQUELON,502
196,ST. VINCENT-GRENADINES,524
197,SAINT BARTHELEMY,716
198,SAINT MARTIN,736
199,SAINT MAARTEN,749
200,SUDAN,350
201,SURINAME,602
202,SWAZILAND,351
203,SWEDEN,130
204,SWITZERLAND,131
205,SYRIA,262
206,TAIWAN,268
207,TAJIKISTAN,159
208,TANZANIA,353
209,THAILAND,263
210,TOGO,304
211,TONGA,417
212,TRINIDAD AND TOBAGO,516
213,TUNISIA,323
214,TURKEY,264
215,TURKMENISTAN,161
216,TURKS AND CAICOS ISLANDS,527
217,TUVALU,420
218,UGANDA,352
219,UKRAINE,162
220,UNITED ARAB EMIRATES,296
221,UNITED KINGDOM,135
222,URUGUAY,695
223,UZBEKISTAN,163
224,VANUATU,410
225,VENEZUELA,696
226,VIETNAM,266
227,WALLIS AND FUTUNA ISLANDS,469
228,WEST INDIES (FRENCH),757
229,WESTERN SAHARA,333
230,WESTERN SAMOA,465
231,YEMEN,216
232,YUGOSLAVIA,139
233,ZAIRE,301
234,ZAMBIA,344
235,ZIMBABWE,315
236,INVALID: AMERICAN SAMOA,403
237,INVALID: ANTARCTICA,712
238,INVALID: BORN ON BOARD SHIP,700
239,INVALID: BOUVET ISLAND (ANTARCTICA/NORWAY TERR.),719
240,INVALID: CANADA,574
241,INVALID: CANTON AND ENDERBURY ISLS,720
242,INVALID: CZECHOSLOVAKIA,106
243,INVALID: DRONNING MAUD LAND (ANTARCTICA-NORWAY),739
244,INVALID: FRENCH SOUTHERN AND ANTARCTIC,394
245,INVALID: GREENLAND,501
246,INVALID: GUAM,404
247,INVALID: INTERNATIONAL WATERS,730
248,INVALID: JOHNSON ISLAND,731
249,"INVALID: MARIANA ISLANDS, NORTHERN",471
250,INVALID: MIDWAY ISLANDS,737
251,INVALID: MINOR OUTLYING ISLANDS - USA,753
252,INVALID: NEUTRAL ZONE (S. ARABIA/IRAQ),740
253,INVALID: NON-QUOTA IMMIGRANT,710
254,INVALID: PUERTO RICO,505
255,INVALID: STATELESS,0
256,INVALID: STATELESS,705
257,INVALID: UNITED STATES,583
258,INVALID: UNITED STATES,407
259,INVALID: UNKNOWN,999
260,INVALID: UNKNOWN COUNTRY,239
261,INVALID: USSR,134
262,INVALID: U.S. VIRGIN ISLANDS,506
263,INVALID: WAKE ISLAND,755
264,Collapsed Tanzania (should not show),311
265,Collapsed Curacao (should not show),741
266,No Country Code (54),54
267,No Country Code (100),100
268,No Country Code (187),187
269,No Country Code (190),190
270,No Country Code (200),200
271,No Country Code (219),219
272,No Country Code (238),238
273,No Country Code (277),277
274,No Country Code (293),293
275,No Country Code (300),300
276,No Country Code (319),319
277,No Country Code (365),365
278,No Country Code (395),395
279,No Country Code (400),400
280,No Country Code (485),485
281,No Country Code (503),503
282,No Country Code (589),589
283,No Country Code (592),592
284,No Country Code (791),791
285,No Country Code (849),849
286,No Country Code (914),914
287,No Country Code (944),944
288,No Country Code (996),996
